,Name,Address,Distance to center,Score,Location score,Price (€),Link
10,HotelF1 Paris Saint Ouen Marché Aux Puces,París,5.1,6.4,,135.0,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-montmartre.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=138838309_93780764_2_2_0&highlighted_blocks=138838309_93780764_2_2_0&matching_block_id=138838309_93780764_2_2_0&sr_pri_blocks=138838309_93780764_2_2_0__13488&from_sustainable_property_sr=1&from=searchresults
11,Le Regent Montmartre by Hiphophostels,"Ópera - 9º distrito, París",2.9,7.4,,296.0,https://www.booking.com/hotel/fr/hotelleregentmontmartre.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=22241007_372134194_2_2_0&highlighted_blocks=22241007_372134194_2_2_0&matching_block_id=22241007_372134194_2_2_0&sr_pri_blocks=22241007_372134194_2_2_0__29550&from=searchresults
12,Grand Hôtel du Bel Air,"Bercy - 12º distrito, París",3.6,7.4,,250.0,https://www.booking.com/hotel/fr/grand-du-bel-air.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=160605302_392213657_0_2_0&highlighted_blocks=160605302_392213657_0_2_0&matching_block_id=160605302_392213657_0_2_0&sr_pri_blocks=160605302_392213657_0_2_0__25001&from=searchresults
13,55 Hôtel Montparnasse,"Montparnasse - 14º distrito, París",3.6,7.7,,310.0,https://www.booking.com/hotel/fr/hotel-montparnasse.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=45514211_244666593_0_2_0&highlighted_blocks=45514211_244666593_0_2_0&matching_block_id=45514211_244666593_0_2_0&sr_pri_blocks=45514211_244666593_0_2_0__31018&from=searchresults
14,Angleterre Hotel,"Montmartre - 18º distrito, París",3.1,7.4,,274.0,https://www.booking.com/hotel/fr/angleterre-paris.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=27035505_395322315_2_2_0&highlighted_blocks=27035505_395322315_2_2_0&matching_block_id=27035505_395322315_2_2_0&sr_pri_blocks=27035505_395322315_2_2_0__27403&from=searchresults
15,Hôtel Plaza Athénée - Dorchester Collection,"Campos Elíseos - 8º distrito, París",3.6,9.2,9.8,6064.0,https://www.booking.com/hotel/fr/ha-tel-plaza-atha-c-na-c-e-paris.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=32634501_397351394_2_2_0&highlighted_blocks=32634501_397351394_2_2_0&matching_block_id=32634501_397351394_2_2_0&sr_pri_blocks=32634501_397351394_2_2_0__606360&from_sustainable_property_sr=1&from=searchresults
16,Le Meurice – Dorchester Collection,"Louvre - 1er distrito, París",2.0,9.2,9.8,5104.0,https://www.booking.com/hotel/fr/le-meurice-paris.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=26707701_397351484_2_2_0&highlighted_blocks=26707701_397351484_2_2_0&matching_block_id=26707701_397351484_2_2_0&sr_pri_blocks=26707701_397351484_2_2_0__510360&from_sustainable_property_sr=1&from=searchresults
17,HotelHome Paris 16,"Passy - 16º distrito, París",6.2,8.4,,645.0,https://www.booking.com/hotel/fr/residencejasmin.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=5073622_122201553_2_2_0&highlighted_blocks=5073622_122201553_2_2_0&matching_block_id=5073622_122201553_2_2_0&sr_pri_blocks=5073622_122201553_2_2_0__64511&from_sustainable_property_sr=1&from=searchresults
18,J.K. Place Paris,"Inválidos - 7º distrito, París",2.2,9.4,9.4,3384.0,https://www.booking.com/hotel/fr/jk-place-paris.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=507857501_375246975_2_41_0&highlighted_blocks=507857501_375246975_2_41_0&matching_block_id=507857501_375246975_2_41_0&sr_pri_blocks=507857501_375246975_2_41_0__338378&from_sustainable_property_sr=1&from=searchresults
19,Hotel Residence Foch,"Passy - 16º distrito, París",5.5,8.1,,776.0,https://www.booking.com/hotel/fr/residencefoch.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=5137410_367191971_2_34_0&highlighted_blocks=5137410_367191971_2_34_0&matching_block_id=5137410_367191971_2_34_0&sr_pri_blocks=5137410_367191971_2_34_0__77570&from_sustainable_property_sr=1&from=searchresults
